Conc_AP_Lys100_(mM),Conc_AP_Asp200_(mM),Conc_NaCl_(mM),Phase,Barcode
3.6,4.7,600.0,-1,481101JHCJG2
7.9,0.1,1900.0,-1,481080B1W70M
0.1,0.3,1900.0,-1,881080GLUZRC
7.9,7.9,1900.0,-1,1070182JLC44
0.1,7.9,1900.0,-1,118108SAWYMI
7.9,0.1,100.0,-1,187181LF7NZ6
0.1,0.1,100.0,-1,4801448HF64O
7.9,7.9,100.0,-1,08181014F2YY
4.1,4.0,1900.0,-1,718078L7YAN2
0.1,7.9,100.0,-1,071401SVR8SU
4.0,0.1,1100.0,-1,111880XHPQ3Q
7.9,3.7,1100.0,-1,180871C3GDYZ
0.1,4.1,1300.0,-1,0718808E2ZXJ
4.0,7.9,1400.0,-1,181801GPIS7Z
4.0,1.2,100.0,-1,107408ROIMHI
7.0,4.0,100.0,-1,110081K7741A
0.1,4.0,200.0,-1,0178801O2MML
4.0,7.9,100.0,-1,181078VV4JXU
