Barcode,Cycle,Avg_Particle_Size
282778TY5V6Z,cycle_0,0.0
17882121SCRR,cycle_0,0.0
782188ZVVG8B,cycle_0,1293.7576419213974
281881WNVSTQ,cycle_0,0.0
777118Q5Y8SJ,cycle_0,13194.985815602837
772111IBRAXR,cycle_0,2672.1952356292077
181178CS2T42,cycle_0,6139.586387434555
281781DA5YW2,cycle_0,0.0
343741ECL5XI,cycle_1,2532.8430446194225
244445ZN3FRO,cycle_1,2206.255550074001
418545HUBYHR,cycle_1,3184.0960080848913
2225749TVMUA,cycle_1,932.0373134328358
423724VD00IJ,cycle_1,4892.850331125828
381234EXH6M9,cycle_1,967.4818532818533
483781TBTDW2,cycle_1,0.0
4152774W96KF,cycle_1,923.6281588447654
8828814EGIA9,cycle_2,0.0
188218AI9EUC,cycle_2,832.1428571428571
68862151WY93,cycle_2,865.4285714285714
282887OYOKW3,cycle_2,653.2692307692307
288688N8WNL6,cycle_2,687.75
818612NYXE8N,cycle_2,822.1469298245614
612862DVCDWQ,cycle_2,0.0
8682815PQFY9,cycle_2,606.2926829268292
2488726TVXWW,cycle_3,576.0
891882OTEPHR,cycle_3,658.25
771828XY6J5F,cycle_3,809.1111111111111
2121273VG8HZ,cycle_3,505.0
88899922AU1F,cycle_3,0.0
187178P4HGM3,cycle_3,0.0
422229IVT17L,cycle_3,0.0
898282SBXL3R,cycle_3,716.9736842105264
928282AVB2LA,cycle_4,0.0
227492ON58KN,cycle_4,0.0
1472276TLJHT,cycle_4,831.696269982238
1717941V4ZFF,cycle_4,705.9633027522935
927822EYXKJK,cycle_4,0.0
477411F13NHD,cycle_4,0.0
148717D1K1KV,cycle_4,600.0
917422Z1GVMW,cycle_4,642.875
319698ZO107J,cycle_5,0.0
282921I6BO8J,cycle_5,640.3333333333334
176239AC4CCU,cycle_5,800.3809523809524
292237CFYN96,cycle_5,577.6666666666666
26323283NC56,cycle_5,0.0
1822694IB7F9,cycle_5,866.1417624521073
796229L1S4LD,cycle_5,625.875
218299HUPUQS,cycle_5,0.0
597881RK9X1V,cycle_6,0.0
295987ZF5JNI,cycle_6,0.0
9289254BW7UX,cycle_6,758.2563176895306
288178531ZKU,cycle_6,778.4778481012659
288182BJUGID,cycle_6,622.2
212982XW1Q7H,cycle_6,0.0
258598TI8IMV,cycle_6,516.0
5599556MDXP6,cycle_6,677.0
717877NH60TI,cycle_7,0.0
12784196WHE3,cycle_7,714.25
271022LUZV3F,cycle_7,645.8333333333334
820782SWZYZE,cycle_7,638.5104895104895
772772D8HWH5,cycle_7,0.0
787724G3JAZJ,cycle_7,746.0892857142857
7727226YEZKG,cycle_7,582.6666666666666
187787G104G9,cycle_7,624.5254237288135
717014GIB1BA,cycle_8,680.3333333333334
917447S14W7V,cycle_8,0.0
20299640FZAE,cycle_8,719.6
099789NDVCXX,cycle_8,600.6363636363636
36380675W586,cycle_8,647.0744680851063
427499LO6DFC,cycle_8,616.0
1104988V74AE,cycle_8,698.0
231782SWYQWY,cycle_8,526.6666666666666
761666AF64KW,cycle_9,743.2264150943396
1676630ZAYC3,cycle_9,701.3333333333334
72823650UT82,cycle_9,590.1666666666666
0132127C56A4,cycle_9,817.7836257309941
622882771H2W,cycle_9,574.6666666666666
212260P3B4XJ,cycle_9,1039.75
1620006LV8J1,cycle_9,512.0
283213RCRWY0,cycle_9,666.4897959183673
