Barcode,Cycle,Particle_Count
282778TY5V6Z,cycle_0,0
17882121SCRR,cycle_0,0
782188ZVVG8B,cycle_0,1832
281881WNVSTQ,cycle_0,0
777118Q5Y8SJ,cycle_0,282
772111IBRAXR,cycle_0,1931
181178CS2T42,cycle_0,573
281781DA5YW2,cycle_0,0
343741ECL5XI,cycle_1,1905
244445ZN3FRO,cycle_1,2027
418545HUBYHR,cycle_1,1979
2225749TVMUA,cycle_1,536
423724VD00IJ,cycle_1,1510
381234EXH6M9,cycle_1,1295
483781TBTDW2,cycle_1,0
4152774W96KF,cycle_1,831
8828814EGIA9,cycle_2,0
188218AI9EUC,cycle_2,749
68862151WY93,cycle_2,301
282887OYOKW3,cycle_2,26
288688N8WNL6,cycle_2,16
818612NYXE8N,cycle_2,456
612862DVCDWQ,cycle_2,0
8682815PQFY9,cycle_2,41
2488726TVXWW,cycle_3,1
891882OTEPHR,cycle_3,168
771828XY6J5F,cycle_3,9
2121273VG8HZ,cycle_3,1
88899922AU1F,cycle_3,0
187178P4HGM3,cycle_3,0
422229IVT17L,cycle_3,0
898282SBXL3R,cycle_3,418
928282AVB2LA,cycle_4,0
227492ON58KN,cycle_4,0
1472276TLJHT,cycle_4,563
1717941V4ZFF,cycle_4,109
927822EYXKJK,cycle_4,0
477411F13NHD,cycle_4,0
148717D1K1KV,cycle_4,1
917422Z1GVMW,cycle_4,8
319698ZO107J,cycle_5,0
282921I6BO8J,cycle_5,3
176239AC4CCU,cycle_5,126
292237CFYN96,cycle_5,3
26323283NC56,cycle_5,0
1822694IB7F9,cycle_5,261
796229L1S4LD,cycle_5,16
218299HUPUQS,cycle_5,0
597881RK9X1V,cycle_6,0
295987ZF5JNI,cycle_6,0
9289254BW7UX,cycle_6,277
288178531ZKU,cycle_6,316
288182BJUGID,cycle_6,10
212982XW1Q7H,cycle_6,0
258598TI8IMV,cycle_6,2
5599556MDXP6,cycle_6,80
717877NH60TI,cycle_7,0
12784196WHE3,cycle_7,4
271022LUZV3F,cycle_7,6
820782SWZYZE,cycle_7,143
772772D8HWH5,cycle_7,0
787724G3JAZJ,cycle_7,56
7727226YEZKG,cycle_7,3
187787G104G9,cycle_7,59
717014GIB1BA,cycle_8,51
917447S14W7V,cycle_8,0
20299640FZAE,cycle_8,25
099789NDVCXX,cycle_8,22
36380675W586,cycle_8,94
427499LO6DFC,cycle_8,7
1104988V74AE,cycle_8,1
231782SWYQWY,cycle_8,3
761666AF64KW,cycle_9,53
1676630ZAYC3,cycle_9,12
72823650UT82,cycle_9,6
0132127C56A4,cycle_9,171
622882771H2W,cycle_9,3
212260P3B4XJ,cycle_9,4
1620006LV8J1,cycle_9,2
283213RCRWY0,cycle_9,49
